aimValue,speedValue,isAimMap
4.3233,4.61615,NULL
4.15042,3.58542,NULL
4.57009,3.56729,NULL
4.10059,3.91736,NULL
4.62265,3.40164,1
4.74376,3.55111,NULL
4.56979,3.12792,1
5.75509,3.50093,1
4.837,4.65213,NULL
4.83883,3.13756,1
4.67944,4.03079,NULL
4.83442,3.74594,NULL
5.28114,3.12266,1
4.92829,3.72833,NULL
4.54127,3.66507,NULL
4.49652,4.37586,NULL
5.19426,3.29119,1
3.8739,4.39152,NULL
5.12612,4.24382,NULL
4.36924,4.17366,NULL
4.81282,3.41403,1
4.50721,4.11395,NULL
4.6609,3.44648,1
3.95008,3.75045,NULL
4.92685,2.88836,1
3.91869,3.8713,NULL
4.86164,2.90685,1
4.79014,4.32382,NULL
4.81614,3.78359,NULL
4.19947,4.15064,NULL
4.49095,3.40195,NULL
3.58252,4.3945,NULL
4.52992,3.4837,NULL
3.88892,4.3333,NULL
4.56963,4.03693,NULL
4.338,4.16503,NULL
5.76762,4.01926,1
4.73997,3.77574,NULL
5.00847,2.97552,1
4.83479,3.16393,1
4.48003,3.40591,NULL
4.56628,3.74878,NULL
4.13707,4.09274,NULL
5.14226,3.2271,1
4.70046,3.94931,NULL
4.96392,3.1099,1
4.20827,3.80399,NULL
4.12154,4.2356,NULL
4.78798,3.24049,1
4.39702,4.40176,NULL
4.46571,4.5209,NULL
4.32498,3.92678,NULL
4.57691,3.15803,1
4.41829,3.75515,NULL
4.10463,3.98905,NULL
4.85187,4.52215,NULL
4.39255,4.11376,NULL
3.86485,4.11426,NULL
4.1536,3.87234,NULL
4.88473,3.00953,1
3.9549,5.53662,0
6.14761,3.60834,1
4.18103,4.15365,NULL
4.04147,4.0277,NULL
4.26026,4.14979,NULL
4.39076,3.88768,NULL
4.10767,4.51626,NULL
4.58694,3.80914,NULL
4.19272,4.38168,NULL
4.53679,3.78516,NULL
4.48711,3.54483,NULL
4.52252,4.10972,NULL
5.04426,3.16556,1
4.69842,3.72123,NULL
4.95442,2.8492,1
5.16814,5.4524,NULL
5.33508,2.98894,1
4.76034,3.86971,NULL
4.70052,4.09186,NULL
4.36838,4.06067,NULL
6.22579,3.77077,1
4.22408,3.89292,NULL
4.1893,4.34076,NULL
4.64342,4.26447,NULL
5.52034,3.38571,1
4.55678,3.71515,NULL
4.90845,3.50171,1
4.3085,4.33632,NULL
3.98433,3.75665,NULL
5.01995,3.25141,1
5.86596,3.88293,1
4.74805,4.05991,NULL
3.67006,4.37552,NULL
4.66548,3.18289,1
4.33353,3.44427,NULL
3.84227,4.55171,NULL
4.46925,3.97559,NULL
4.83487,3.66298,NULL
4.92254,3.18699,1
4.2412,5.10645,NULL
4.8702,3.21387,1
4.55471,4.49401,NULL
5.24535,3.25629,1
4.41558,3.82085,NULL
4.25531,3.68566,NULL
4.45624,3.51251,NULL
4.59318,4.11024,NULL
4.03162,3.87567,NULL
4.78271,3.66893,NULL
4.64689,3.0813,1
4.00576,4.87523,NULL
4.62633,3.66851,NULL
4.86125,4.00959,NULL
5.14244,4.85903,NULL
4.14563,3.86852,NULL
3.97499,3.65523,NULL
5.16018,4.46662,NULL
3.84053,3.80246,NULL
4.12025,4.24929,NULL
3.97842,3.83773,NULL
4.27552,3.75912,NULL
3.80326,4.24898,NULL
4.17761,4.16883,NULL
4.46645,3.93627,NULL
4.79094,3.24603,1
3.8913,3.99661,NULL
4.344,3.88558,NULL
5.42983,4.79217,NULL
4.31224,4.04691,NULL
4.36919,3.71013,NULL
4.32392,4.46991,NULL
4.55493,4.31537,NULL
3.81936,4.1144,NULL
4.26408,3.6758,NULL
